"astro-ph/0111551","Hector DE Vega","H. J. de Vega, J. A. Siebert","Statistical Mechanics of the Self-gravitating gas with two or more kinds
  of Particles","LaTex, 29 pages, 11 .ps figures, expanded version to appear in Phys.
  Rev. E","Phys.Rev. E66 (2002) 016112","10.1103/PhysRevE.66.016112","LPTHE/01-72","astro-ph cond-mat hep-th",,"  We study the statistical mechanics of the self-gravitating gas at thermal
equilibrium with two kinds of particles. We start from the partition function
in the canonical ensemble which we express as a functional integral over the
densities of the two kinds of particles for a large number of particles. The
system is shown to possess an infinite volume limit when (N_1,N_2,V)->infty,
keeping N_1/V^{1/3} and N_2/V^{1/3} fixed. The saddle point approximation
becomes here exact for (N_1,N_2,V)->infty.It provides a nonlinear differential
equation on the particle densities. For the spherically symmetric case, we
compute the densities as functions of two dimensionless physical parameters:
eta_1=G m_1^2 N_1/[V^{1/3} T] and eta_2=G m_2^2 N_2/[V^{1/3} T] (where G is
Newton's constant, m_1 and m_2 the masses of the two kinds of particles and T
the temperature). According to the values of eta_1 and eta_2 the system can be
either in a gaseous phase or in a highly condensed phase.The gaseous phase is
stable for eta_1 and eta_2 between the origin and their collapse values. The
gas is inhomogeneous and the mass M(R) inside a sphere of radius R scales with
R as M(R) propto R^d suggesting a fractal structure. The value of d depends in
general on eta_1 and eta_2 except on the critical line for the canonical ensem-
ble where it takes the universal value d simeq 1.6 for all values of N_1/N_2.
The equation of state is computed.It is found to be locally a perfect gas
equation of state. Thermodynamic functions are computed as functions of eta_1
and eta_2. They exhibit a square root Riemann sheet with the branch points on
the critical canonical line. This treatment is further generalized to the
self-gravitating gas with n-types of particles.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 17:06:36 GMT""},{""version"":""v2"",""created"":""Wed, 26 Jun 2002 15:35:03 GMT""}]","2009-11-07"
"hep-ph/0111456","Ismd31","A.A. Savin (on behalf of the H1 and ZEUS collaborations)","Experimental Studies of Diffractive Processes at HERA","7 pages, 7 figure (6 in eps, 1 in ps) talk given at XXXI
  International Symposium on Multiparticle Dynamics, Sep. 1-7, 2001, Datong
  China URL http://ismd31.ccnu.edu.cn/",,"10.1142/9789812778048_0069",,"hep-ph",,"  Diffractive processes in photon-proton interactions at HERA offer the
opportunity to improve the understanding of the transition between the soft,
non-perturbative regime in hadronic interactions at $Q^2 = 0$ and the
perturbative region at high $Q^2$. Recent experimental results from HERA on
inclusive diffractive scattering, exclusive vector meson production and the
properties of the hadronic final state in diffraction are reviewed. The results
are discussed in the context of current theoretical models.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 10:16:42 GMT""}]","2019-08-14"
"hep-ph/0111457","Ismd31","Bai YuTing, Fu JingHua and Wu YuanFang","Event-by-Event Fluctuations of Transverse Momentum in Elementary
  Collisions at 250 GeV/$c$","4 pages, 5 figure (in epsi) talk given at XXXI International
  Symposium on Multiparticle Dynamics, Sep. 1-7, 2001, Datong China URL
  http://ismd31.ccnu.edu.cn/",,,,"hep-ph",,"  We present a study of event-by-event fluctuations of transverse momentum in
$\pi^{+}\p$ and $\K^{+}\p$ collisions at 250 GeV/$c$ and the corresponding
PYTHIA Monte Carlo results for $\pi^{+}\p$ collisions. The dependence of
$\Phi_{p_{t}}$ on event and particle variables are investigated in detail. We
find that $\Phi_{p_t}$ are all negative for different average transverse
momentum per event sample. The $<p_{t} >_N \sim N$ correlation may not be the
only origin of $\Phi_{p_{t}}$.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 10:56:16 GMT""}]","2007-05-23"
"hep-ph/0111458","Ismd31","M. Adamus, S. Chekanov, K. Olkiewicz, L. Zawiejski","Multiplicity Fluctuations and Bose-Einstein Correlations in DIS at HERA","4 pages, 3 figures in eps, talk given at XXXI International Symposium
  on Multiparticle Dynamics, Sept 1-7, 2001, Datong China. URL
  http://202.114.35.18/",,"10.1142/9789812778048_0060",,"hep-ph",,"  Results of the recent studies of the multiplicity fluctuations and
Bose-Einstein correlations (BEC) in deep-inelastic scattering (DIS) at large
Q$^2$ are reviewed. The measurements were done with the ZEUS detetor at HERA.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 11:01:12 GMT""}]","2017-08-23"
"hep-ph/0111459","Ismd31","Wolfgang Ochs","QCD Description of Angular Correlations","5 pages, 1 figures in eps, talk given at XXXI International Symposium
  on Multiparticle Dynamics, Sept 1-7, 2001, Datong China. URL
  http://202.114.35.18/",,"10.1142/9789812778048_0061",,"hep-ph",,"  We review the predictions on angular correlations and their recent
experimental tests at LEP and HERA. Power behaviour of correlation functions
appear for large angles and reflect the underlying fractal structure in jet
evolution. Asymptotic scaling laws work rather well for the low momentum
particles. For angular correlations the predictions work at least
qualitatively, sometimes quantitatively, at LEP and the higher HERA energies.
Some limitations of the approach and possible improvements are discussed.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 11:19:24 GMT""}]","2017-08-23"
"hep-ph/0111460","Ismd31","Toru Sugitate","Correlations and Fluctuations at RHIC","4 pages, 2 figures in eps, talk given at XXXI International Symposium
  on Multiparticle Dynamics, Sept 1-7, 2001, Datong China. see
  http://ismd31.ccnu.edu.cn/",,"10.1142/9789812778048_0057",,"hep-ph",,"  Particle correlations and fluctuations measured by RHIC experiments at
$\sqrt{s_{NN}}$=130 GeV were discussed. The source size parameters were similar
to those measured at the CERN-SPS, and no long duration time of particle
emission were observed. It was pointed out that the dependences of longitudinal
and transverse radius parameters on the pair momentum are explained with a
single $m_T$ scaling function observed at the SPS energy. Fluctuation studies
of mean $p_{T}$ of charged particles and of mean $E_{T}$ in an electromagnetic
calorimeter found no significant non-statistical fluctuations by PHENIX, but
some indication in charge independent $<p_T>$ by STAR.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 11:25:15 GMT""},{""version"":""v2"",""created"":""Tue, 4 Dec 2001 08:06:56 GMT""}]","2017-08-23"
"hep-ph/0111461","Ismd31","O.V.Utyuzh, G.Wilk and Z.Wlodarczyk","Numerical modelling of correlations","4 pages, 1 figures in eps, talk given at XXXI International Symposium
  on Multiparticle Dynamics, Sept 1-7, 2001, Datong China. URL
  http://202.114.35.18/",,"10.1142/9789812778048_0056",,"hep-ph",,"  We demonstrate algorithm for numerical modelling of Bose-Einstein
correlations (BEC) formulated on quantum statistical level for a single event
and exploring the property that identical particles subjected to Bose
statistics do bunch themselves in a maximal possible way in the same cells in
phase-space.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 11:54:57 GMT""}]","2017-08-23"
"hep-ph/0111462","Ismd31","Wolfram Kittel","Correlations and Fluctuations(an Introductory Review)","9 pages, 2 figures in ps, talk given at XXXI International Symposium
  on Multiparticle Dynamics, Sept 1-7, 2001, Datong China. URL
  http://202.114.35.18/",,"10.1142/9789812778048_0051",,"hep-ph",,"  Far too often are multiparticle final states studied and models tested on
merely single-particle spectra and their integrals, the average multiplicities:
A multiparticle final state is a non-linear, complex system and the essential
information on the dynamics is contained in the particle correlations and their
integrals measuring the fluctuations!
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 12:00:50 GMT""}]","2017-08-23"
"hep-ph/0111463","Jerome Damet","J.Damet (Uppsala University), G.Ingelman (Uppsala University & DESY),
  C. B. Mariotto (IF-UFRGS & Uppsala University)","Prompt J/psi production at the LHC","8 pages, 8 eps figures","JHEP 0209:014,2002","10.1088/1126-6708/2002/09/014","TSL/ISV-2001-0243","hep-ph",,"  Models with essential non-perturbative QCD dynamics for the production of
charmonium are extrapolated to give predictions of prompt J/psi production at
the LHC. Differences of up to an order of magnitude occurs, although the
different models all describe the Tevatron data on high-pT charmonium. An
important point is here the treatment of higher order perturbative QCD effects.
We also discuss the large rate of prompt J/psi from these models as a
background to CP violation studies.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 13:16:48 GMT""},{""version"":""v2"",""created"":""Wed, 16 Oct 2002 12:37:44 GMT""}]","2011-03-23"
"hep-ph/0111464","Katri Huitu","Katri Huitu","Singly produced new physics particles in future colliders","3 pp. Talk given at SUSY'01, Dubna, Russia, June 11-17, 2001",,"10.1142/9789812778192_0030",,"hep-ph",,"  Single production at hadron and photon colliders of gluinos and sneutrinos of
supersymmetric models, as well as radions of the Randall-Sundrum model, is
discussed. In the case of supersymmetry, R-parity breaking is needed in order
to produce single susy particles. Resonant production of radions is considered
at gamma-gamma collider.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 13:32:03 GMT""}]","2017-08-23"
"hep-ph/0111465","Stephan Huber","Stephan J. Huber, Chin-Aik Lee, Qaisar Shafi","Kaluza-Klein Excitations of W and Z at the LHC?","11 pages, 5 figures, comments and references added","Phys.Lett.B531:112-118,2002","10.1016/S0370-2693(02)01368-0",,"hep-ph hep-ex",,"  Deviations from standard electroweak physics arise in the framework of a
Randall-Sundrum model, with matter and gauge fields in the bulk and the Higgs
field localized on the TeV brane. We focus in particular on modifications
associated with the weak mixing angle. Comparison with the electroweak
precision data yields a rather stringent lower bound of about 10 TeV on the
masses of the lowest Kaluza-Klein excitation of the W and Z bosons. With some
optimistic assumptions the bound could be lowered to about 7 TeV.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 13:46:55 GMT""},{""version"":""v2"",""created"":""Tue, 5 Feb 2002 18:55:22 GMT""}]","2011-05-12"
"hep-ph/0111466","Abdelhak Djouadi","Aseshkrishna Datta and Abdelhak Djouadi (LPMT Montpellier)","Associated production of sfermions and gauginos at high-energy $e^+e^-$
  colliders","32 pages, latex, axodraw.sty, 10 figures","Eur.Phys.J.C25:523-537,2002","10.1007/s10052-002-1028-5","PM/01-37","hep-ph",,"  In the context of the Minimal Supersymmetric extension of the Standard Model,
we analyze the production at future high-energy $e^+e^-$ colliders of second
and third generation scalar leptons as well as scalar quarks in association
with neutralinos and charginos, $e^+e^-\to f\tilde{f}\chi$. In the case of
third generation squarks, we also discuss the associated production with
gluinos. We show that the cross sections for some of these three-body final
state processes could be significant enough to allow for the detection of
scalar fermions with masses above the kinematical two--body threshold,
$\sqrt{s}= 2m_{\tilde{f}}$. We then discuss, taking as a reference example the
case of scalar muons, the production cross sections in various approximations
and make a comparison with the full four-body production process, $e^+e^- \to
f\bar{f} \chi \chi$, in particular around the two-sfermion threshold.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 14:25:07 GMT""}]","2009-01-07"
"hep-ph/0111467","Johann Rafelski","Johann Rafelski (Arizna and CERN) and Jean Letessier (Paris 7 LPTHE)","Probing Dense Matter with Strange Hadrons","12 pages incl 1 figure, 3 tables",,"10.1142/9789812778352_0036","CERN-TH/2001-346","hep-ph",,"  Analysis of hadron production experimental data allows to understand the
properties of the dense matter fireball produced in relativistic heavy ion
collisions. We interpret the analysis results and argue that color deconfined
state has been formed at highest CERN-SPS energies and at BNL-RHIC.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 14:54:51 GMT""}]","2017-08-23"
"hep-ph/0111468","Daniele Treleani","M. Strikman and D. Treleani","Measuring Double Parton Distributions in Nucleons at Proton-Nucleus
  Colliders","12 pages, 2 figures","Phys.Rev.Lett.88:031801,2002","10.1103/PhysRevLett.88.031801",,"hep-ph nucl-th",,"  We predict a strong enhancement of multijet production in proton-nucleus
collisions at collider energies, as compared to a naive expectation of a cross
section $\propto A$. The study of the process would allow to measure, for the
first time, the double parton distribution functions in a nucleon in a model
independent way and hence to study both the longitudinal and the transverse
correlations of partons.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 15:41:36 GMT""}]","2011-07-19"
"hep-ph/0111469","Jiri Chyla","Jiri Chyla","Heavy quark production in $\gamma\gamma$ collisions","8 pages, ws macro attached, 2 eps figures",,"10.1142/9789812777157_0020","Talk given at PHOTON 2001, Ascona, Switzerland","hep-ph",,"  Current theoretical framework for the calculation of heavy quark production
in $\gamma\gamma$ collisions is reviewed. The importance of including direct
photon contributions up to the order $\alpha^2\alpha_s^2$ and of the proper
choice of renormalization and factorization scales in the evaluation of
$\sigma(\gamma\gamma\to Q\bar{Q})$ is emphasized.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 15:44:20 GMT""}]","2017-08-23"
"hep-ph/0111470","Soon-Tae Hong","Soon-Tae Hong","Sum rules for strange form factors and flavor singlet axial charges","15 pages, revised with references added","Phys.Lett. B585 (2004) 122-130","10.1016/j.physletb.2004.01.072",,"hep-ph",,"  In chiral models with SU(3) group structure, strange form factors of baryon
octet are evaluated by constructing their sum rules to yield theoretical
predictions comparable to the recent experimental data of SAMPLE Collaboration.
We also study sum rules for the flavor singlet axial currents for the EMC
experiment in a modified quark model.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 15:48:42 GMT""},{""version"":""v2"",""created"":""Thu, 10 Jan 2002 16:45:01 GMT""}]","2009-11-07"
"hep-th/0111266","Gregory Gabadadze","Gia Dvali, Gregory Gabadadze, Xin-rui Hou, Emiliano Sefusatti","See-Saw Modification of Gravity","24 LaTex pages; v2: comments added, typos corrected","Phys.Rev. D67 (2003) 044019","10.1103/PhysRevD.67.044019","NYU-TH/01/11/15, TPI-MIN-01/52, UMN-TH-2033/01","hep-th hep-ph",,"  We discuss a model in which the fundamental scale of gravity is restricted to
10^{-3} eV. An observable modification of gravity occurs simultaneously at the
Hubble distance and at around 0.1 mm. These predictions can be tested both by
the table-top experiments and by cosmological measurements. The model is
formulated as a brane-world theory embedded in a space with two or more
infinite-volume extra dimensions. Gravity on the brane reproduces the
four-dimensional laws at observable distances but turns to the high-dimensional
behavior at larger scales. To determine the crossover distance we smooth out
the singularities in the Green's functions by taking into account softening of
the graviton propagator due to the high-dimensional operators that are
suppressed by the fundamental scale. We find that irrespective of the precise
nature of microscopic gravity the ultraviolet and infrared scales of
gravity-modification are rigidly correlated. This fixes the fundamental scale
of gravity at 10^{-3} eV. The result persists for nonzero thickness branes.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 20:27:38 GMT""},{""version"":""v2"",""created"":""Fri, 18 Jan 2002 17:31:58 GMT""}]","2009-11-07"
"hep-th/0111273","Francois Gieres","C.P. Constantinidis, F. Gieres, O. Piguet and M.S. Sarandy","On the symmetries of BF models and their relation with gravity","29 pages","JHEP 0201:017,2002","10.1088/1126-6708/2002/01/017","PAR-LPTHE 01-65, LYCEN 2001-78, UFES-DF-OP2001/2","hep-th",,"  The perturbative finiteness of various topological models (e.g. BF models)
has its origin in an extra symmetry of the gauge-fixed action, the so-called
vector supersymmetry. Since an invariance of this type also exists for gravity
and since gravity is closely related to certain BF models, vector supersymmetry
should also be useful for tackling various aspects of quantum gravity. With
this motivation and goal in mind, we first extend vector supersymmetry of BF
models to generic manifolds by incorporating it into the BRST symmetry within
the Batalin-Vilkovisky framework. Thereafter, we address the relationship
between gravity and BF models, in particular for three-dimensional space-time.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 18:35:11 GMT""}]","2014-11-18"
